inventory_date,warehouse_code,product_id,product_name,category,quantity_on_hand,unit_cost_euro,supplier_id,restock_threshold,restock_lead_days,is_active,last_updated_ts,last_sale_ts,lifetime_revenue_euro
2025-10-02,BUC,PRD00001,Gaming-00001,Gaming,154,1561.98,SUP029,32,6,True,2025-10-02T18:47:00,2025-10-01T19:47:00,5988779.59
2025-10-02,BUC,PRD00002,Appliances-00002,Appliances,90,1082.71,SUP018,36,12,True,2025-10-02T08:37:00,2025-09-30T18:37:00,2514664.3
2025-10-02,BUC,PRD00003,Accessories-00003,Accessories,131,1422.23,SUP006,21,9,True,2025-10-02T05:35:00,2025-09-30T18:35:00,8704658.99
2025-10-02,BUC,PRD00004,Televisions-00004,Televisions,158,1182.99,SUP030,36,13,True,2025-10-02T00:49:00,2025-09-30T05:49:00,18317284.74
2025-10-02,BUC,PRD00005,Gaming-00005,Gaming,186,1264.32,SUP026,54,4,True,2025-10-02T02:28:00,2025-09-30T15:28:00,15235835.39
2025-10-02,BUC,PRD00006,Laptops-00006,Laptops,46,85.08,SUP007,39,8,True,2025-10-02T06:57:00,2025-09-30T22:57:00,167447.37
2025-10-02,BUC,PRD00007,Laptops-00007,Laptops,94,1219.54,SUP001,52,6,True,2025-10-02T11:21:00,2025-10-02T10:21:00,6384362.43
2025-10-02,BUC,PRD00008,Laptops-00008,Laptops,75,408.44,SUP025,27,8,True,2025-10-02T20:24:00,2025-10-02T03:24:00,3136686.33
2025-10-02,BUC,PRD00009,Appliances-00009,Appliances,145,828.94,SUP018,31,3,True,2025-10-02T10:30:00,2025-10-01T00:30:00,3982543.06
2025-10-02,BUC,PRD00010,Televisions-00010,Televisions,95,1451.8,SUP009,12,4,True,2025-10-02T12:57:00,2025-10-01T13:57:00,12035119.52
2025-10-02,BUC,PRD00011,Appliances-00011,Appliances,148,673.79,SUP014,48,11,True,2025-10-02T01:18:00,2025-10-01T11:18:00,3693552.63
2025-10-02,BUC,PRD00012,Televisions-00012,Televisions,148,1354.04,SUP002,55,9,True,2025-10-02T22:23:00,2025-09-30T22:23:00,19164364.54
