inventory_date,warehouse_code,product_id,product_name,category,quantity_on_hand,unit_cost_euro,supplier_id,restock_threshold,restock_lead_days,is_active,last_updated_ts,last_sale_ts,lifetime_revenue_euro
2025-10-03,FRA,PRD00001,Gaming-00001,Gaming,109,1561.98,SUP029,32,6,True,2025-10-03T12:27:00,2025-10-02T01:27:00,13763767.23
2025-10-03,FRA,PRD00002,Appliances-00002,Appliances,106,1082.71,SUP018,36,12,True,2025-10-03T19:27:00,2025-10-02T01:27:00,9940616.25
2025-10-03,FRA,PRD00003,Accessories-00003,Accessories,139,1422.23,SUP006,21,9,True,2025-10-03T00:59:00,2025-10-01T00:59:00,19588897.28
2025-10-03,FRA,PRD00004,Televisions-00004,Televisions,82,1182.99,SUP030,36,13,True,2025-10-03T19:43:00,2025-10-03T05:43:00,3422126.45
2025-10-03,FRA,PRD00005,Gaming-00005,Gaming,135,1264.32,SUP026,54,4,True,2025-10-03T14:45:00,2025-10-03T03:45:00,16922408.09
2025-10-03,FRA,PRD00006,Laptops-00006,Laptops,162,85.08,SUP007,39,8,True,2025-10-03T18:00:00,2025-10-02T09:00:00,1095221.78
2025-10-03,FRA,PRD00007,Laptops-00007,Laptops,120,1219.54,SUP001,52,6,True,2025-10-03T15:02:00,2025-10-02T05:02:00,3694887.11
2025-10-03,FRA,PRD00008,Laptops-00008,Laptops,172,408.44,SUP025,27,8,True,2025-10-03T09:50:00,2025-10-02T21:50:00,5626975.55
2025-10-03,FRA,PRD00009,Appliances-00009,Appliances,112,828.94,SUP018,31,3,True,2025-10-03T01:53:00,2025-10-02T09:53:00,6563738.95
2025-10-03,FRA,PRD00010,Televisions-00010,Televisions,127,1451.8,SUP009,12,4,True,2025-10-03T19:15:00,2025-10-03T00:15:00,7440772.69
2025-10-03,FRA,PRD00011,Appliances-00011,Appliances,117,673.79,SUP014,48,11,True,2025-10-03T10:47:00,2025-10-02T09:47:00,4137595.11
2025-10-03,FRA,PRD00012,Televisions-00012,Televisions,96,1354.04,SUP002,55,9,True,2025-10-03T04:07:00,2025-10-01T11:07:00,10944085.98
2025-10-03,FRA,PRD00013,Televisions-00013,Televisions,179,1610.62,SUP024,57,14,True,2025-10-03T06:04:00,2025-10-03T03:04:00,22734357.71
2025-10-03,FRA,PRD00014,Appliances-00014,Appliances,143,528.86,SUP022,31,12,True,2025-10-03T07:43:00,2025-10-01T20:43:00,7976934.36
2025-10-03,FRA,PRD00015,Laptops-00015,Laptops,69,1581.41,SUP010,42,7,True,2025-10-03T12:38:00,2025-10-03T07:38:00,6658704.0
2025-10-03,FRA,PRD00016,Appliances-00016,Appliances,119,616.93,SUP018,18,6,True,2025-10-03T13:18:00,2025-10-01T23:18:00,2095646.99
2025-10-03,FRA,PRD00017,Laptops-00017,Laptops,141,1724.24,SUP029,21,12,True,2025-10-03T12:54:00,2025-10-02T16:54:00,5756301.59
2025-10-03,FRA,PRD00018,Appliances-00018,Appliances,113,800.69,SUP010,28,6,True,2025-10-03T22:08:00,2025-10-03T11:08:00,2104024.28
2025-10-03,FRA,PRD00019,Laptops-00019,Laptops,142,1062.95,SUP015,38,10,True,2025-10-03T19:05:00,2025-10-03T16:05:00,3608476.45
2025-10-03,FRA,PRD00020,Appliances-00020,Appliances,153,987.95,SUP026,57,5,True,2025-10-03T05:26:00,2025-10-02T17:26:00,10133423.81
2025-10-03,FRA,PRD00021,Appliances-00021,Appliances,149,533.04,SUP020,31,4,True,2025-10-03T04:25:00,2025-10-01T20:25:00,5924939.58
2025-10-03,FRA,PRD00022,Accessories-00022,Accessories,43,1379.4,SUP008,22,5,True,2025-10-03T10:40:00,2025-10-02T18:40:00,2853906.92
2025-10-03,FRA,PRD00023,Televisions-00023,Televisions,101,430.55,SUP028,59,4,True,2025-10-03T16:58:00,2025-10-02T22:58:00,2590099.6
2025-10-03,FRA,PRD00024,Laptops-00024,Laptops,169,1565.18,SUP023,54,9,True,2025-10-03T12:07:00,2025-10-03T01:07:00,16108924.26
2025-10-03,FRA,PRD00025,Audio-00025,Audio,154,460.02,SUP001,58,4,True,2025-10-03T02:30:00,2025-10-02T00:30:00,5765207.26
2025-10-03,FRA,PRD00026,Accessories-00026,Accessories,89,437.67,SUP023,43,10,True,2025-10-03T13:27:00,2025-10-03T00:27:00,1566644.78
2025-10-03,FRA,PRD00027,Televisions-00027,Televisions,106,502.89,SUP015,18,10,True,2025-10-03T03:07:00,2025-10-01T20:07:00,3830100.75
2025-10-03,FRA,PRD00028,Appliances-00028,Appliances,137,1755.67,SUP025,38,12,True,2025-10-03T06:34:00,2025-10-01T15:34:00,15357132.23
2025-10-03,FRA,PRD00029,Accessories-00029,Accessories,150,1485.63,SUP030,45,10,True,2025-10-03T03:05:00,2025-10-01T13:05:00,7095063.04
2025-10-03,FRA,PRD00030,Gaming-00030,Gaming,139,1266.01,SUP009,58,6,True,2025-10-03T16:12:00,2025-10-02T03:12:00,5403361.01
