inventory_date,warehouse_code,product_id,product_name,category,quantity_on_hand,unit_cost_euro,supplier_id,restock_threshold,restock_lead_days,is_active,last_updated_ts,last_sale_ts,lifetime_revenue_euro
2025-10-04,MAD,PRD00001,Gaming-00001,Gaming,59,1561.98,SUP029,32,6,True,2025-10-04T14:20:00,2025-10-02T17:20:00,2778243.79
2025-10-04,MAD,PRD00002,Appliances-00002,Appliances,126,1082.71,SUP018,36,12,True,2025-10-04T14:46:00,2025-10-03T10:46:00,9483671.05
2025-10-04,MAD,PRD00003,Accessories-00003,Accessories,139,1422.23,SUP006,21,9,True,2025-10-04T00:09:00,2025-10-03T23:09:00,4957667.44
2025-10-04,MAD,PRD00004,Televisions-00004,Televisions,76,1182.99,SUP030,36,13,True,2025-10-04T10:11:00,2025-10-02T20:11:00,4500531.04
2025-10-04,MAD,PRD00005,Gaming-00005,Gaming,128,1264.32,SUP026,54,4,True,2025-10-04T12:41:00,2025-10-04T01:41:00,7745157.89
2025-10-04,MAD,PRD00006,Laptops-00006,Laptops,93,85.08,SUP007,39,8,True,2025-10-04T21:21:00,2025-10-03T10:21:00,429275.85
2025-10-04,MAD,PRD00007,Laptops-00007,Laptops,134,1219.54,SUP001,52,6,True,2025-10-04T02:51:00,2025-10-03T05:51:00,7937134.13
2025-10-04,MAD,PRD00008,Laptops-00008,Laptops,155,408.44,SUP025,27,8,True,2025-10-04T00:06:00,2025-10-03T12:06:00,4457097.0
2025-10-04,MAD,PRD00009,Appliances-00009,Appliances,104,828.94,SUP018,31,3,True,2025-10-04T07:19:00,2025-10-03T23:19:00,4414155.25
2025-10-04,MAD,PRD00010,Televisions-00010,Televisions,118,1451.8,SUP009,12,4,True,2025-10-04T05:18:00,2025-10-03T06:18:00,6984262.81
2025-10-04,MAD,PRD00011,Appliances-00011,Appliances,118,673.79,SUP014,48,11,True,2025-10-04T14:53:00,2025-10-03T07:53:00,6068985.2
2025-10-04,MAD,PRD00012,Televisions-00012,Televisions,119,1354.04,SUP002,55,9,True,2025-10-04T05:19:00,2025-10-03T16:19:00,7141472.29
2025-10-04,MAD,PRD00013,Televisions-00013,Televisions,165,1610.62,SUP024,57,14,True,2025-10-04T09:40:00,2025-10-03T22:40:00,8900031.57
2025-10-04,MAD,PRD00014,Appliances-00014,Appliances,123,528.86,SUP022,31,12,True,2025-10-04T03:01:00,2025-10-03T21:01:00,2710097.2
2025-10-04,MAD,PRD00015,Laptops-00015,Laptops,144,1581.41,SUP010,42,7,True,2025-10-04T04:35:00,2025-10-03T13:35:00,7955821.1
2025-10-04,MAD,PRD00016,Appliances-00016,Appliances,101,616.93,SUP018,18,6,True,2025-10-04T00:45:00,2025-10-02T19:45:00,3862199.79
2025-10-04,MAD,PRD00017,Laptops-00017,Laptops,142,1724.24,SUP029,21,12,True,2025-10-04T05:11:00,2025-10-03T11:11:00,15551725.99
2025-10-04,MAD,PRD00018,Appliances-00018,Appliances,128,800.69,SUP010,28,6,True,2025-10-04T14:36:00,2025-10-02T16:36:00,3393574.21
2025-10-04,MAD,PRD00019,Laptops-00019,Laptops,99,1062.95,SUP015,38,10,True,2025-10-04T22:50:00,2025-10-04T12:50:00,8556272.15
2025-10-04,MAD,PRD00020,Appliances-00020,Appliances,135,987.95,SUP026,57,5,True,2025-10-04T02:32:00,2025-10-04T00:32:00,10850088.14
2025-10-04,MAD,PRD00021,Appliances-00021,Appliances,170,533.04,SUP020,31,4,True,2025-10-04T08:30:00,2025-10-02T12:30:00,6505202.79
